Seed,Theta,A,Cooperator_Frequency
42,4.0,1,"[5076, 7559, 9059, 9702, 9928, 9984, 9997]"
42,4.1,1,"[4936, 7434, 8990, 9700, 9943, 9994, 9999]"
42,4.199999999999999,1,"[4978, 7477, 8991, 9694, 9923, 9991, 9998]"
42,4.299999999999999,1,"[5000, 7492, 9001, 9706, 9931, 9991, 9999]"
42,4.399999999999999,1,"[5063, 7522, 9015, 9683, 9923, 9984, 9998, 9999]"
42,4.499999999999998,1,"[4938, 7470, 9006, 9677, 9918, 9980, 9995, 9999]"
42,4.599999999999998,1,"[4965, 7405, 8940, 9695, 9930, 9988, 9999]"
42,4.6999999999999975,1,"[5009, 7492, 9006, 9721, 9937, 9985, 9999]"
42,4.799999999999997,1,"[4943, 7374, 8927, 9695, 9924, 9987, 9997, 9999]"
42,4.899999999999997,1,"[5026, 7538, 9056, 9732, 9946, 9995]"
42,4.9999999999999964,1,"[4971, 7475, 8983, 9667, 9924, 9982, 9999]"
