Seed,Theta,A,Cost
13,4.0,1,"[19636.0, 29852.0, 36000.0, 38872.0, 39732.0, 39944.0, 39992.0]"
13,4.1,1,"[20426.199999999593, 30799.19999999591, 37002.49999999371, 39958.599999992664, 40770.399999992376, 40950.79999999231, 40983.5999999923]"
13,4.199999999999999,1,"[21096.600000001985, 31563.000000003798, 37812.60000000051, 40794.59999999844, 41714.399999997804, 41945.399999997644, 41991.59999999761]"
13,4.299999999999999,1,"[21826.79999999794, 32516.59999999613, 39044.000000000335, 41834.70000000222, 42767.800000002855, 42961.300000002986]"
13,4.399999999999999,1,"[22048.40000000092, 33189.2000000046, 39749.60000000677, 42732.80000000776, 43643.60000000806, 43925.20000000815, 43982.40000000817]"
13,4.499999999999998,1,"[22738.499999999996, 33920.99999999999, 40576.49999999999, 43537.49999999999, 44644.49999999999, 44945.99999999999, 44986.49999999999]"
13,4.599999999999998,1,"[22498.59999999898, 34173.39999999529, 41514.999999992964, 44693.59999999196, 45691.79999999164, 45930.99999999157, 45986.19999999155]"
13,4.6999999999999975,1,"[23861.900000002202, 35640.1000000018, 42643.09999999747, 45693.39999999558, 46652.199999994984, 46924.799999994815, 46985.89999999478]"
13,4.799999999999997,1,"[23668.799999997875, 35980.799999998446, 43180.80000000281, 46569.600000004866, 47702.40000000555, 47976.00000000572]"
13,4.899999999999997,1,"[24343.200000001507, 36544.20000000513, 44590.000000007516, 47701.50000000844, 48696.200000008736, 48921.6000000088, 48995.100000008824]"
13,4.9999999999999964,1,"[25144.999999999996, 37394.99999999999, 45009.99999999999, 48464.99999999999, 49724.99999999999, 49964.99999999999, 49994.99999999999]"
