Generation,Cooperator Count,Interference Cost,Social Welfare
0,5076,0.0,28030.0
1,2843,12793.5,44560.200000000004
2,4332,19494.0,67386.0
3,5858,0.0,95875.6
4,4618,20781.0,119492.4
5,6062,0.0,148374.6
6,4935,22207.5,172905.40000000002
7,6324,0.0,202490.19999999995
8,5276,0.0,228173.40000000002
9,4268,19206.0,249692.19999999995
10,5603,0.0,276432.6
11,4611,20749.5,299283.0
12,5952,0.0,327222.4
13,4956,22302.0,351250.4
14,6235,0.0,380054.20000000007
15,5297,0.0,405295.19999999995
16,4426,19917.0,426952.0
17,5628,0.0,453339.0
18,4750,21375.0,476325.4
19,5945,0.0,503857.6
20,5120,0.0,528189.6
21,4287,19291.5,549159.3999999999
22,5467,0.0,574694.6
23,4657,20956.5,597099.0
24,5765,0.0,623782.2
25,4924,22158.0,647165.6
26,5972,0.0,674524.3999999999
27,5224,0.0,699104.8
28,4417,19876.5,720347.0
29,5480,0.0,745790.8
30,4687,21091.5,768107.8
31,5703,0.0,794345.3999999999
32,4959,22315.5,817704.6000000001
33,5965,0.0,844856.0
34,5241,0.0,869242.6000000001
35,4484,20178.0,890549.5999999999
36,5584,0.0,916187.5999999999
37,4824,21708.0,938969.2000000002
38,5956,0.0,966017.0
39,5265,0.0,990524.2000000002
40,4541,20434.5,1012057.6000000001
41,5574,0.0,1037619.3999999999
42,4867,21901.5,1060484.4
43,5901,0.0,1087352.7999999998
44,5129,0.0,1111258.0
45,4365,19642.5,1131922.6
46,5310,0.0,1156309.6
47,4580,20610.0,1177844.8
48,5544,0.0,1203154.4
49,4799,21595.5,1225589.7999999998
