Seed,Theta,A,Cooperator_Frequency
2,4.0,1,"[np.int64(5132), np.int64(6121), np.int64(7306), np.int64(8155), np.int64(8707), np.int64(9054), np.int64(9384), np.int64(9542), np.int64(9706), np.int64(9775), np.int64(9830), np.int64(9878), np.int64(9901), np.int64(9931), np.int64(9953), np.int64(9967), np.int64(9978), np.int64(9990), np.int64(9991), np.int64(9993), np.int64(9995), np.int64(9993), np.int64(9996), np.int64(9995), np.int64(9995), np.int64(9998), np.int64(9997), np.int64(9999), np.int64(9998), np.int64(9998)]"
2,4.1,1,"[np.int64(4890), np.int64(6025), np.int64(7217), np.int64(8146), np.int64(8764), np.int64(9191), np.int64(9463), np.int64(9636), np.int64(9748), np.int64(9812), np.int64(9885), np.int64(9929), np.int64(9944), np.int64(9962), np.int64(9976), np.int64(9981), np.int64(9983), np.int64(9990), np.int64(9992), np.int64(9994), np.int64(9995), np.int64(9998)]"
2,4.199999999999999,1,"[np.int64(4967), np.int64(6159), np.int64(7335), np.int64(8279), np.int64(8890), np.int64(9330), np.int64(9556), np.int64(9706), np.int64(9796), np.int64(9861), np.int64(9904), np.int64(9936), np.int64(9959), np.int64(9978), np.int64(9986), np.int64(9989), np.int64(9990), np.int64(9990), np.int64(9995), np.int64(9997), np.int64(9999), np.int64(9999), np.int64(9998), np.int64(9998), np.int64(9997), np.int64(9999), np.int64(9999)]"
2,4.299999999999999,1,"[np.int64(5021), np.int64(6238), np.int64(7493), np.int64(8536), np.int64(9099), np.int64(9440), np.int64(9629), np.int64(9784), np.int64(9862), np.int64(9909), np.int64(9938), np.int64(9960), np.int64(9981), np.int64(9989), np.int64(9992), np.int64(9992), np.int64(9997), np.int64(9994), np.int64(9996), np.int64(9997), np.int64(9998), np.int64(9999), np.int64(9998)]"
2,4.399999999999999,1,"[np.int64(4964), np.int64(6252), np.int64(7626), np.int64(8619), np.int64(9199), np.int64(9543), np.int64(9707), np.int64(9842), np.int64(9915), np.int64(9941), np.int64(9970), np.int64(9978), np.int64(9987), np.int64(9989), np.int64(9993), np.int64(9994), np.int64(9998)]"
2,4.499999999999998,1,"[np.int64(5006), np.int64(6408), np.int64(7782), np.int64(8819), np.int64(9342), np.int64(9665), np.int64(9836), np.int64(9931), np.int64(9962), np.int64(9982), np.int64(9990), np.int64(9993), np.int64(9999)]"
2,4.599999999999998,1,"[np.int64(5016), np.int64(6496), np.int64(7849), np.int64(8773), np.int64(9393), np.int64(9691), np.int64(9856), np.int64(9935), np.int64(9965), np.int64(9987), np.int64(9996), np.int64(9998)]"
2,4.6999999999999975,1,"[np.int64(5081), np.int64(6619), np.int64(8055), np.int64(8973), np.int64(9486), np.int64(9799), np.int64(9921), np.int64(9968), np.int64(9986), np.int64(9996), np.int64(9999)]"
2,4.799999999999997,1,"[np.int64(4994), np.int64(6663), np.int64(8124), np.int64(9075), np.int64(9596), np.int64(9839), np.int64(9952), np.int64(9989), np.int64(9998), np.int64(9997), np.int64(9998), np.int64(9999)]"
2,4.899999999999997,1,"[np.int64(5023), np.int64(6757), np.int64(8193), np.int64(9143), np.int64(9668), np.int64(9882), np.int64(9965), np.int64(9992), np.int64(9998)]"
2,4.9999999999999964,1,"[np.int64(5052), np.int64(6853), np.int64(8342), np.int64(9252), np.int64(9721), np.int64(9898), np.int64(9972), np.int64(9989), np.int64(9998)]"
