Seed,Theta,A,Social_Welfare
6,4.0,1,"[np.float64(27429.4), np.float64(29966.800000000003), np.float64(33278.799999999996), np.float64(35736.0), np.float64(37177.40000000001), np.float64(37992.2), np.float64(38565.0), np.float64(38811.600000000006), np.float64(39095.0), np.float64(39243.8), np.float64(39346.600000000006), np.float64(39399.600000000006), np.float64(39449.0), np.float64(39501.0), np.float64(39536.79999999999), np.float64(39547.2), np.float64(39565.0), np.float64(39572.8), np.float64(39591.2), np.float64(39588.0), np.float64(39593.600000000006), np.float64(39596.8), np.float64(39595.2), np.float64(39593.600000000006)]"
6,4.1,1,"[np.float64(27951.4), np.float64(30386.40000000001), np.float64(33985.600000000006), np.float64(36053.6), np.float64(37368.600000000006), np.float64(38294.00000000001), np.float64(38659.0), np.float64(39071.600000000006), np.float64(39218.0), np.float64(39330.600000000006), np.float64(39444.600000000006), np.float64(39474.6), np.float64(39512.799999999996), np.float64(39533.600000000006), np.float64(39563.399999999994), np.float64(39579.20000000001), np.float64(39587.2), np.float64(39588.8), np.float64(39592.79999999999), np.float64(39596.0), np.float64(39596.80000000001), np.float64(39599.20000000001)]"
6,4.199999999999999,1,"[np.float64(27669.199999999997), np.float64(30712.800000000003), np.float64(34040.799999999996), np.float64(36386.600000000006), np.float64(37965.60000000002), np.float64(38531.400000000016), np.float64(38965.20000000002), np.float64(39153.200000000026), np.float64(39385.800000000025), np.float64(39441.000000000015), np.float64(39431.200000000026), np.float64(39504.80000000002), np.float64(39520.20000000003), np.float64(39572.800000000025), np.float64(39570.40000000002), np.float64(39573.60000000003), np.float64(39585.60000000002), np.float64(39585.60000000003), np.float64(39588.80000000002), np.float64(39592.00000000002), np.float64(39593.60000000003), np.float64(39597.60000000002), np.float64(39596.00000000003)]"
6,4.299999999999999,1,"[np.float64(28148.2), np.float64(31358.39999999999), np.float64(34725.99999999999), np.float64(36957.399999999994), np.float64(38241.79999999999), np.float64(38881.6), np.float64(39215.799999999996), np.float64(39345.19999999999), np.float64(39442.399999999994), np.float64(39486.4), np.float64(39524.79999999998), np.float64(39552.799999999996), np.float64(39577.6), np.float64(39587.19999999999), np.float64(39592.799999999996), np.float64(39591.19999999999), np.float64(39595.999999999985), np.float64(39599.200000000004)]"
6,4.399999999999999,1,"[np.float64(27823.0), np.float64(31861.0), np.float64(35207.8), np.float64(37177.8), np.float64(38395.60000000001), np.float64(38914.4), np.float64(39208.00000000001), np.float64(39414.000000000015), np.float64(39511.20000000002), np.float64(39543.20000000001), np.float64(39580.80000000002), np.float64(39578.40000000002), np.float64(39592.800000000025), np.float64(39584.800000000025), np.float64(39592.00000000002), np.float64(39596.000000000015), np.float64(39599.20000000002), np.float64(39599.20000000002)]"
6,4.499999999999998,1,"[np.float64(28082.200000000004), np.float64(32059.600000000002), np.float64(35433.2), np.float64(37550.8), np.float64(38650.0), np.float64(39147.59999999999), np.float64(39418.59999999999), np.float64(39514.000000000015), np.float64(39542.59999999999), np.float64(39577.59999999999), np.float64(39588.0), np.float64(39593.600000000006), np.float64(39598.40000000001), np.float64(39599.2)]"
6,4.599999999999998,1,"[np.float64(28070.6), np.float64(32348.199999999997), np.float64(35854.39999999999), np.float64(37717.19999999999), np.float64(38761.79999999997), np.float64(39216.39999999998), np.float64(39444.39999999998), np.float64(39526.59999999999), np.float64(39575.99999999999), np.float64(39591.999999999985), np.float64(39599.19999999998)]"
6,4.6999999999999975,1,"[np.float64(28003.39999999999), np.float64(32102.399999999998), np.float64(35995.600000000006), np.float64(37970.399999999994), np.float64(38949.20000000001), np.float64(39337.20000000001), np.float64(39495.00000000001), np.float64(39563.20000000002), np.float64(39586.40000000001), np.float64(39597.60000000001), np.float64(39599.20000000001)]"
6,4.799999999999997,1,"[np.float64(27756.0), np.float64(32528.199999999997), np.float64(36224.40000000001), np.float64(38133.99999999999), np.float64(39060.00000000001), np.float64(39393.19999999999), np.float64(39532.4), np.float64(39569.59999999999), np.float64(39592.799999999996), np.float64(39599.2)]"
6,4.899999999999997,1,"[np.float64(27464.000000000007), np.float64(32200.200000000008), np.float64(36260.40000000001), np.float64(38244.799999999996), np.float64(39063.399999999994), np.float64(39435.0), np.float64(39559.599999999984), np.float64(39578.39999999998), np.float64(39595.99999999998)]"
6,4.9999999999999964,1,"[np.float64(27461.2), np.float64(32261.200000000004), np.float64(36198.600000000006), np.float64(38238.80000000002), np.float64(39152.800000000025), np.float64(39442.800000000025), np.float64(39555.60000000001), np.float64(39582.20000000002), np.float64(39593.800000000025), np.float64(39596.00000000002), np.float64(39599.20000000002), np.float64(39599.20000000002), np.float64(39598.40000000003), np.float64(39599.20000000002)]"
