Seed,Theta,A,Cooperator_Frequency
13,4.0,1,"[4909, 7462, 8978, 9700, 9932, 9989]"
13,4.1,1,"[4982, 7524, 9073, 9742, 9935, 9987, 9996]"
13,4.199999999999999,1,"[5023, 7472, 9012, 9689, 9915, 9980, 9998]"
13,4.299999999999999,1,"[5076, 7592, 9104, 9735, 9934, 9991, 9999]"
13,4.399999999999999,1,"[5011, 7476, 8978, 9669, 9920, 9979, 9993, 9999]"
13,4.499999999999998,1,"[5053, 7570, 9093, 9734, 9923, 9981, 9994, 9997, 9998, 9999]"
13,4.599999999999998,1,"[4891, 7424, 9009, 9717, 9948, 9993, 9996, 9999]"
13,4.6999999999999975,1,"[5077, 7561, 8965, 9682, 9919, 9988, 9999]"
13,4.799999999999997,1,"[4931, 7374, 8921, 9682, 9941, 9990, 9999]"
13,4.899999999999997,1,"[4968, 7436, 8926, 9634, 9905, 9980, 9997]"
13,4.9999999999999964,1,"[5029, 7505, 9086, 9715, 9938, 9992, 9997]"
