Seed,Theta,A,Cost
11,4.0,1,"[20212.0, 29804.0, 35964.0, 38736.0, 39724.0, 39944.0, 39992.0]"
11,4.1,1,"[20569.699999999997, 30626.999999999996, 36793.399999999994, 39675.7, 40635.1, 40905.7, 40983.6]"
11,4.199999999999999,1,"[20815.199999999997, 31411.799999999996, 37867.2, 40710.59999999999, 41634.59999999999, 41936.99999999999, 41983.19999999999, 41995.799999999996]"
11,4.299999999999999,1,"[21383.899999999994, 31643.699999999993, 38390.39999999999, 41636.89999999999, 42677.49999999999, 42935.49999999999, 42978.49999999999]"
11,4.399999999999999,1,"[21841.59999999999, 32850.39999999999, 39494.39999999999, 42565.599999999984, 43639.19999999998, 43907.599999999984, 43986.79999999999]"
11,4.499999999999998,1,"[22445.999999999993, 33443.999999999985, 40297.499999999985, 43537.499999999985, 44594.999999999985, 44878.499999999985, 44968.499999999985, 44990.999999999985]"
11,4.599999999999998,1,"[22903.39999999999, 34458.599999999984, 41280.39999999998, 44481.99999999998, 45599.79999999998, 45894.199999999975, 45967.79999999998, 45986.199999999975, 45990.79999999998, 45995.39999999998]"
11,4.6999999999999975,1,"[23537.599999999988, 35292.29999999998, 42365.79999999998, 45693.39999999997, 46656.89999999997, 46920.09999999998, 46995.299999999974]"
11,4.799999999999997,1,"[23913.599999999988, 35740.79999999998, 42979.199999999975, 46526.39999999997, 47683.199999999975, 47932.799999999974, 47995.19999999997]"
11,4.899999999999997,1,"[24779.299999999985, 37034.199999999975, 44281.299999999974, 47569.19999999997, 48671.69999999997, 48946.09999999997, 48995.09999999997]"
11,4.9999999999999964,1,"[25044.99999999998, 37659.99999999997, 45024.99999999997, 48419.99999999996, 49564.99999999996, 49914.99999999996, 49989.99999999996]"
